City_ID,City,Country,Lat,Lng,Description,Max Temp,Humidity,Cloudiness,Wind Speed
79,Mackenzie,CA,55.2999,-123.1698,scattered clouds,30.2,55,40,5.75
80,Geraldton,AU,-28.7667,114.6,overcast clouds,77.0,47,90,19.57
81,Port Lincoln,AU,-34.7333,135.8667,overcast clouds,58.05,63,95,14.88
82,Yamada,JP,39.4667,141.95,few clouds,37.6,75,22,4.99
83,Dickinson,US,29.4608,-95.0513,overcast clouds,80.01,47,90,9.22
84,Solnechnyy,RU,50.7214,136.6319,scattered clouds,36.93,65,47,7.94
85,Port Hardy,CA,50.6996,-127.4199,light rain,42.8,65,40,8.05
86,Kongwa,TZ,-6.2,36.4167,light rain,64.99,94,87,4.03
87,Hobart,AU,-42.8794,147.3294,light rain,44.6,70,75,11.5
88,Leningradskiy,RU,69.3833,178.4167,overcast clouds,-16.6,99,100,2.26
89,Sao Filipe,CV,14.8961,-24.4956,clear sky,77.0,60,6,9.71
90,Hami,CN,42.8,93.45,broken clouds,56.91,33,51,7.31
91,Pacific Grove,US,36.6177,-121.9166,broken clouds,55.4,62,75,7.52
92,Severo-Kurilsk,RU,50.6789,156.125,overcast clouds,28.99,84,100,18.21
93,Tuatapere,NZ,-46.1333,167.6833,overcast clouds,57.0,93,96,4.0
94,Padang,ID,-0.9492,100.3543,scattered clouds,77.0,94,40,2.3
95,Hermanus,ZA,-34.4187,19.2345,overcast clouds,61.0,90,100,2.62
96,Hasaki,JP,35.7333,140.8333,few clouds,39.2,87,20,5.75
97,Luanda,AO,-8.8368,13.2343,broken clouds,80.6,78,75,6.91
98,Khatanga,RU,71.9667,102.5,overcast clouds,4.62,89,98,5.77
99,Tezu,IN,27.9167,96.1667,moderate rain,68.88,68,30,4.47
100,Mehamn,NO,71.0357,27.8492,overcast clouds,28.36,75,93,17.38
101,Poltava,UA,49.5937,34.5407,scattered clouds,45.55,48,39,5.88
102,Vysokogornyy,RU,50.1167,139.15,few clouds,24.39,85,11,3.2
103,Vardo,NO,70.3705,31.1107,overcast clouds,32.68,63,99,7.9
104,Xai-Xai,MZ,-25.0519,33.6442,clear sky,72.18,78,0,7.05
105,Mount Gambier,AU,-37.8333,140.7667,scattered clouds,50.0,76,40,17.27
106,Bonavista,CA,48.6499,-53.1147,overcast clouds,32.0,100,100,5.75
107,Dingle,PH,10.9995,122.6711,broken clouds,75.54,82,57,5.59
108,Tasiilaq,GL,65.6145,-37.6368,broken clouds,32.0,69,75,1.14
109,Porbandar,IN,21.6422,69.6093,clear sky,80.76,62,0,11.72
110,Airai,TL,-8.9266,125.4092,scattered clouds,57.58,78,33,1.34
111,Angoche,MZ,-16.2325,39.9086,light rain,76.17,89,93,5.7
112,Makakilo City,US,21.3469,-158.0858,clear sky,71.6,60,1,6.91
