City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kununurra,AU,2021-04-06 13:05:40,-15.7667,128.7333,78.8,78,75,3.38
68,Sangin,AF,2021-04-06 13:09:06,32.0728,64.8359,75.87,6,0,17.85
69,Dali,CN,2021-04-06 13:09:06,25.7,100.1833,51.66,85,17,5.39
70,Kantemirovka,RU,2021-04-06 13:09:06,49.7089,39.8592,52.07,49,93,14.85
71,Kavaratti,IN,2021-04-06 13:09:07,10.5669,72.642,84.34,69,55,9.71
72,Hualmay,PE,2021-04-06 13:09:07,-11.0964,-77.6139,71.11,81,73,7.56
73,Makat,KZ,2021-04-06 13:09:07,47.6469,53.3463,57.22,38,92,23.29
74,Barrow,US,2021-04-06 13:09:08,71.2906,-156.7887,-7.6,71,20,6.91
75,Soyo,AO,2021-04-06 13:09:08,-6.1349,12.3689,84.63,65,67,5.46
76,Kapaa,US,2021-04-06 13:09:08,22.0752,-159.319,73.4,64,40,19.57
77,Tuatapere,NZ,2021-04-06 13:09:09,-46.1333,167.6833,54.0,87,100,11.01
78,San Juan,AR,2021-04-06 13:09:09,-31.5375,-68.5364,77.14,54,0,7.09
79,Sioux Lookout,CA,2021-04-06 13:09:09,50.1001,-91.917,28.4,100,20,2.3
80,Boa Vista,BR,2021-04-06 13:09:09,2.8197,-60.6733,75.2,94,90,2.3
81,Atuona,PF,2021-04-06 13:09:10,-9.8,-139.0333,79.97,79,73,9.31
82,Aracaju,BR,2021-04-06 13:09:10,-10.9111,-37.0717,82.4,74,40,6.91
83,Dwarka,IN,2021-04-06 13:08:18,22.2394,68.9678,83.28,66,0,14.34
84,Lavrentiya,RU,2021-04-06 13:06:16,65.5833,-171.0,-8.88,96,24,8.9
85,Coihaique,CL,2021-04-06 13:05:54,-45.5752,-72.0662,51.8,82,75,4.61
86,Iguai,BR,2021-04-06 13:09:11,-14.7564,-40.0892,79.54,58,31,7.11
87,Hurricane,US,2021-04-06 13:09:11,37.1753,-113.2899,54.0,26,1,9.22
88,Iqaluit,CA,2021-04-06 13:09:11,63.7506,-68.5145,12.2,85,90,5.75
89,Taoudenni,ML,2021-04-06 13:09:11,22.6783,-3.9836,95.45,5,4,13.38
90,Makakilo City,US,2021-04-06 13:09:12,21.3469,-158.0858,71.6,73,1,4.61
91,Yucaipa,US,2021-04-06 13:09:12,34.0336,-117.0431,51.8,82,75,1.52
92,Sao Joao Da Barra,BR,2021-04-06 13:09:12,-21.6403,-41.0511,77.0,73,20,4.61
93,Vila Franca Do Campo,PT,2021-04-06 13:04:39,37.7167,-25.4333,62.6,94,75,12.66
94,Nanortalik,GL,2021-04-06 13:09:13,60.1432,-45.2371,36.0,95,100,4.05
95,Comodoro Rivadavia,AR,2021-04-06 13:08:15,-45.8667,-67.5,55.4,94,75,8.05
96,Bilimbay,RU,2021-04-06 13:09:13,56.9689,59.8149,42.8,45,0,8.95
97,Iwanai,JP,2021-04-06 13:09:14,42.9744,140.5089,35.67,70,100,6.96
98,Broken Hill,AU,2021-04-06 13:09:14,-31.95,141.4333,69.8,26,0,11.5
99,Saint George,US,2021-04-06 13:09:14,37.1041,-113.5841,54.0,26,1,9.22
100,Souillac,MU,2021-04-06 13:09:15,-20.5167,57.5167,86.0,70,40,8.05
101,Eyl,SO,2021-04-06 13:09:15,7.9803,49.8164,84.67,46,53,14.63
102,East London,ZA,2021-04-06 13:05:24,-33.0153,27.9116,66.2,77,40,6.91
103,Ossora,RU,2021-04-06 13:09:15,59.2353,163.0719,2.59,94,95,5.66
104,Qaanaaq,GL,2021-04-06 13:09:16,77.484,-69.3632,1.45,75,100,0.38
105,Moosomin,CA,2021-04-06 13:09:16,50.1333,-101.6677,34.36,68,0,4.18
106,Carnarvon,AU,2021-04-06 13:09:16,-24.8667,113.6333,78.8,73,52,14.97
107,Bethel,US,2021-04-06 13:09:17,41.3712,-73.414,51.8,30,1,12.66
